Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,158900,1,6800,4.47,150500,159000,149200,24914148,3847046975400,940630465805800,5919637922,STK
000660,KR7000660001,SK하이닉스,KOSPI,,799000,1,63000,8.56,738000,800000,733000,4997726,3853862014500,581673889635000,728002365,STK
005380,KR7005380001,현대차,KOSPI,,488500,2,-4000,-0.81,473000,499000,469000,4242414,2059878355750,100024168691000,204757766,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,409000,2,-7000,-1.68,410000,416500,404500,287721,117923346500,95706000000000,234000000,STK
005935,KR7005931001,삼성전자우,KOSPI,,113750,1,2850,2.57,109300,114000,107900,3488794,387636980800,92817118030000,815974664,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,1791000,2,-16000,-0.89,1808000,1809000,1790000,62243,111790664500,82907093241000,46290951,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,1236000,2,-26000,-2.06,1295000,1295000,1232000,113543,141334157500,63732363636000,51563401,STK
402340,KR7402340004,SK스퀘어,KOSPI,,472500,1,31500,7.14,444500,483500,436500,539595,252407556250,62411161837500,132087115,STK
329180,KR7329180004,HD현대중공업,KOSPI,,583000,2,-22000,-3.64,612000,613000,571000,394769,230273771000,61192394175000,104961225,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,93300,1,1500,1.63,96000,96200,92700,6424631,603990896450,59764354921800,640561146,STK
000270,KR7000270009,기아,KOSPI,,152700,2,-2500,-1.61,149300,153800,145900,1663311,250528179550,59616064794600,390412998,STK
105560,KR7105560007,KB금융,KOSPI,,142700,1,7200,5.31,137500,143600,136800,925422,130742319550,54434642098100,381462103,STK
028260,KR7028260008,삼성물산,KOSPI,,295500,2,-2000,-0.67,299000,301000,292000,350926,103552973750,50228068752000,169976544,STK
068270,KR7068270008,셀트리온,KOSPI,,211500,2,-3500,-1.63,210000,212500,208500,541818,113891766250,48848244943500,230960969,STK
035420,KR7035420009,NAVER,KOSPI,,282000,1,9500,3.49,270500,292000,270000,4785038,1360387203250,44232443916000,156852638,STK
042660,KR7042660001,한화오션,KOSPI,,140100,1,300,0.21,144000,144100,138100,1526482,214646161700,42928516499400,306413394,STK
012330,KR7012330007,현대모비스,KOSPI,,462000,2,-3500,-0.75,441500,467000,439000,478763,218244693500,41918453346000,90732583,STK
055550,KR7055550008,신한지주,KOSPI,,86000,1,3600,4.37,82700,86500,82500,1393378,118672040650,41752564324000,485494934,STK
015760,KR7015760002,한국전력,KOSPI,,60600,1,200,0.33,64100,64200,60400,4051400,248994273250,38903023066200,641964077,STK
010130,KR7010130003,고려아연,KOSPI,,1838000,1,31000,1.72,1784000,1839000,1725000,63710,112848079500,38364517022000,20872969,STK
032830,KR7032830002,삼성생명,KOSPI,,187300,1,5100,2.8,184300,188600,182000,209123,38924916750,37460000000000,200000000,STK
